一个顶俩 yi'ge'ding'lia
二者必居其一 er'zhe'bi'ju'qi'yi
弃恶从善 qi'e'cong'shan
轻徭薄赋 qing'yao'bao'fu
男儿志在四方 nan'r'zhi'zai'si'fang
天高地远 tian'gao'di'yuan
天差地远 tian'cha'di'yuan
唯才是举 wei'cai'shi'ju
兄妹契约 xiong'mei'qi'yue
不求闻达 bu'qiu'wen'da
兵家大忌 bing'jia'da'ji
见利思义 jian'li'si'yi
不顾死活 bu'gu'si'huo
鲤鱼打挺 li'yu'da'ting
礼多人不怪 li'duo'ren'bu'guai
尸山血海 shi'shan'xue'hai
转眼即逝 zhuan'yan'ji'shi
兔起鹘落 tu'qi'gu'luo
参禅悟道 can'chan'wu'dao
水波不兴 shui'bo'bu'xing
元亨利贞 yuan'heng'li'zhen
无语凝噎 wu'yu'ning'ye
奸淫掳掠 jian'yin'lu'e
寡头政治 gua'tou'zheng'zhi
口舌之争 kou'she'zhi'zheng
世事无绝对 shi'shi'wu'jue'dui
乌龟王八蛋 wu'gui'wang'ba'dan
不着痕迹 bu'zhe'hen'ji
地下水源 di'xia'shui'yuan
一朝被蛇咬 yi'chao'bei'she'yao
青龙偃月刀 qing'long'yan'yue'dao
十二金钗 shi'er'jin'chai
假传圣旨 jia'chuan'sheng'zhi
九曲回肠 jiu'qu'hui'chang
南极仙翁 nan'ji'xian'weng
兄终弟及 xiong'zhong'di'ji
和光同尘 he'guang'tong'chen
天外飞来 tian'wai'fei'lai
道高一尺魔高一丈 dao'gao'yi'chi'mo'gao'yi'zhang
难乎其难 nan'hu'qi'nan
各擅胜场 ge'shan'sheng'chang
是非混淆 shi'fei'hun'xiao
春捂秋冻 chun'wu'qiu'dong
古井无波 gu'jing'wu'bo
不足为据 bu'zu'wei'ju
结发夫妻 jie'fa'fu'qi
存乎一心 cun'hu'yi'xin
儿女私情 r'nv'si'qing
步步深入 bu'bu'shen'ru
阴阳交错 yin'yang'jiao'cuo
灿若繁星 can'ruo'fan'xing
鬼蜮伎俩 gui'yu'ji'lia
捅马蜂窝 tong'ma'feng'wo
红装素裹 hong'zhuang''guo
无容身之地 wu'rong'shen'zhi'di
悠然神往 you'ran'shen'wang
横眉立目 heng'mei'li'mu
濒临绝境 bin'lin'jue'jing
艰难时世 jian'nan'shi'shi
沙漠之舟 sha'mo'zhi'zhou
秀才遇到兵 xiu'cai'yu'dao'bing
五权宪法 wu'quan'xian'fa
幸不辱命 xing'bu'ru'ming
惊恐万分 jing'kong'wan'fen
世袭罔替 shi'xi'wang'ti
便宜没好货 bian'yi'mei'hao'huo
幅员广大 fu'yuan'guang'da
一时瑜亮 yi'shi'yu'liang
苦口良药 ku'kou'liang'yao
白发人送黑发人 bai'fa'ren'song'hei'fa'ren
宾朋满座 bin'peng'man'zuo
爽心悦目 shuang''yue'mu
狗嘴里吐不出象牙 gou'zui'li'tu'bu'chu'xiang'ya
无官一身轻 wu'guan'yi'shen'qing
物伤其类 wu'shang'qi'lei
虎入羊群 hu'ru'yang'qun
人强马壮 ren'qiang'ma'zhuang
不撞南墙不回头 bu'zhuang''qiang'bu'hui'tou
商山四皓 shang'shan'si'hao
大败亏输 da'bai'kui'shu
丝绸古道 si'chou'gu'dao
欺善怕恶 qi'shan'pa'e
不世之功 bu'shi'zhi'gong
盲人骑瞎马 mang'ren'qi'xia'ma
乘其不备 cheng'qi'bu'bei
济世救人 ji'shi'jiu'ren
空头交易 kong'tou'jiao'yi
塞翁失马焉知非福 sai'weng'shi'ma'yan'zhi'fei'fu
金玉其外败絮其中 jin'yu'qi'wai'bai'xu'qi'zhong
万夫不当之勇 wan'fu'bu'dang'zhi'yong
倾注全力 qing'zhu'quan'li
知难行易 zhi'nan'xing'yi
不露锋芒 bu'lu'feng'mang
豁然贯通 huo'ran'guan'tong
我为鱼肉 wo'wei'yu'rou
前途渺茫 qian'tu'miao'mang
万事俱备只欠东风 wan'shi'ju'bei'zhi'qian'dong'feng
恶语相加 e'yu'xiang'jia
不值一文 bu'zhi'yi'wen
其心必异 qi'xin'bi'yi
蹒跚而行 pan'shan'er'xing
记不起来 ji'bu'qi'lai
以血还血 yi'xue'hai'xue
文武之道 wen'wu'zhi'dao
擅自作主 shan'zi'zuo'zhu
投河自尽 tou'he'zi'jin
咬紧牙根 yao'jin'ya'gen
勒紧裤带 lei'jin'ku'dai
乘机而入 cheng'ji'er'ru
死而无怨 si'er'wu'yuan
黄口小儿 huang'kou'xiao'r
死生有命 si'sheng'you'ming
缄口不语 jian'kou'bu'yu
以备万一 yi'bei'wan'yi
一箭穿心 yi'jian'chuan'xin
毫无顾虑 hao'wu'gu'lv
不咸不淡 bu'xian'bu'dan
蜂拥而起 feng'yong'er'qi
渔人之利 yu'ren'zhi'li
毫不关心 hao'bu'guan'xin
报仇雪耻 bao'chou'xue'chi
能征惯战 neng'zheng'guan'zhan
疲劳轰炸 pi'lao'hong'zha
相形失色 xiang'xing'shi'se
岁月如流 sui'yue'ru'liu
猪朋狗友 zhu'peng'gou'you
龙行虎步 long'xing'hu'bu
置之死地而后快 zhi'zhi'si'di'er'hou'kuai
鲜衣怒马 xian'yi'nu'ma
污七八糟 wu'qi'ba'zao
名不正则言不顺 ming'bu'zheng'ze'yan'bu'shun
精力过人 jing'li'guo'ren
汗流夹背 han'liu'jia'bei
别无出路 bie'wu'chu'lu
喃喃细语 nan'nan'xi'yu
一片丹心 yi'pian'dan'xin
香消玉损 xiang'xiao'yu'sun
挨打受骂 ai'da'shou'ma
八百壮士 ba'bai'zhuang'
承欢膝下 cheng'huan'xi'xia
脸朝黄土背朝天 lian'chao'huang'tu'bei'chao'tian
封建割据 feng'jian'ge'ju
大碗喝酒 da'wan'he'jiu
必有一失 bi'you'yi'shi
修齐治平 xiu'qi'zhi'ping
必有我师 bi'you'wo'shi
名扬中外 ming'yang'zhong'wai
一脚踩空 yi'jiao'cai'kong
羚羊挂角 ling'yang'gua'jiao
一线光明 yi'xian'guang'ming
眼中钉肉中刺 yan'zhong'ding'rou'zhong'ci
吃穿用度 chi'chuan'yong'du
打铁趁热 da'tie'chen're
抱头大哭 bao'tou'da'ku
一夫当关万夫莫开 yi'fu'dang'guan'wan'fu'mo'kai
东游西逛 dong'you'xi'guang
又说又笑 you'shuo'you'xiao
步人后尘 bu'ren'hou'chen
是非之心 shi'fei'zhi'xin
坐地分赃 zuo'di'fen'zang
不求上进 bu'qiu'shang'jin
杯中之物 bei'zhong'zhi'wu
自报公议 zi'bao'gong'yi
上智下愚 shang'zhi'xia'yu
君君臣臣 jun'jun'chen'chen
学识渊博 xue'shi'yuan'bo
步步进逼 bu'bu'jin'bi
雍容典雅 yong'rong'dian'ya
不事生产 bu'shi'sheng'chan
未定之天 wei'ding'zhi'tian
妇人之见 fu'ren'zhi'jian
口乾舌燥 kou'gan'she'zao
开花结实 kai'hua'jie'shi
将欲取之 jiang'yu'qu'zhi
打蛇打七寸 da'she'da'qi'cun
疲倦不堪 pi'juan'bu'kan
骄横跋扈 jiao'heng'ba'hu
积习难改 ji'xi'nan'gai
一醉解千愁 yi'zui'jie'qian'chou
劫数难逃 jie'shu'nan'tao
怒从心起 nu'cong'xin'qi
完事大吉 wan'shi'da'ji
一溃千里 yi'kui'qian'li
最后五分钟 zui'hou'wu'fen'zhong
留住青春 liu'zhu'qing'chun
只听楼梯响 zhi'ting'lou'ti'xiang
因循苟且 yin'xun'gou'qie
要言不烦 yao'yan'bu'fan
一举成功 yi'ju'cheng'gong
欲火焚身 yu'huo'fen'shen
无容置疑 wu'rong'zhi'yi
七级浮屠 qi'ji'fu'tu
不能忘怀 bu'neng'wang'huai
唯舞独尊 wei'wu'du'zun
忽忽悠悠 hu'hu'you'you
旭日初升 xu'ri'chu'sheng
转悲为喜 zhuan'bei'wei'xi
大胆假设 da'dan'jia'she
凛然正气 lin'ran'zheng'qi
好心办坏事 hao'xin'ban'huai'shi
雄才伟略 xiong'cai'wei'e
人何以堪 ren'he'yi'kan
互相残杀 hu'xiang'can'sha
身在江湖 shen'zai'jiang'hu
当众出丑 dang'zhong'chu'chou
陌路相逢 mo'lu'xiang'feng
比手画脚 bi'shou'hua'jiao
文不加点 wen'bu'jia'dian
一搭一唱 yi'da'yi'chang
白虹贯日 bai'hong'guan'ri
暗通款曲 an'tong'kuan'qu
油光水滑 you'guang'shui'hua
广开门路 guang'kai'men'lu
接人待物 jie'ren'dai'wu
烈火金刚 lie'huo'jin'gang
一片冰心 yi'pian'bing'xin
面色如土 mian'se'ru'tu
三千世界 san'qian'shi'jie
破竹之势 po'zhu'zhi'shi
色艺双绝 se'yi'shuangjue'jue
土木之变 tu'mu'zhi'bian
浅斟低唱 qian'zhen'di'chang
忠臣义士 zhong'chen'yi'shi
终须一别 zhong'xu'yi'bie
无踪无影 wu'zong'wu'ying
五言排律 wu'yan'pai'lv
祸兮福所倚 huo'xi'fu'suo'yi
阡陌纵横 qian'mo'zong'heng
南拳北腿 nan'quan'bei'tui
有利有节 you'li'you'jie
民为邦本 min'wei'bang'ben
锦瑟年华 jin'se'nian'hua
落落寡欢 luo'luo'gua'huan
满口应承 man'kou'ying'cheng
惊涛拍岸 jing'tao'pai'an
情深意浓 qing'shen'yi'nong
存而不论 cun'er'bu'lun
内紧外松 nei'jin'wai'song
见风转舵 jian'feng'zhuan'duo
永世长存 yong'shi'zhang'cun
半生半熟 ban'sheng'ban'shu
衔枚疾走 xian'mei'ji'zou
出敌不意 chu'di'bu'yi
既生瑜何生亮 ji'sheng'yu'he'sheng'liang
贪多嚼不烂 tan'duo'jue'bu'lan
女怕嫁错郎 nv'pa'jia'cuo'lang
吐气扬眉 tu'qi'yang'mei
如之奈何 ru'zhi'nai'he
目之所及 mu'zhi'suo'ji
冤家宜解不宜结 yuan'jia'yi'jie'bu'yi'jie
雍容大度 yong'rong'da'du
安身之处 an'shen'zhi'chu
卑鄙龌龊 bei'bi'wo'chuo
杀父之仇 sha'fu'zhi'chou
上无片瓦 shang'wu'pian'wa
粥少僧多 zhou'shao'seng'duo
皮破血流 pi'po'xue'liu
鞭打快牛 bian'da'kuai'niu
移山倒海 yi'shan'dao'hai
南北东西 nan'bei'dong'xi
转忧为喜 zhuan'you'wei'xi
耳根清静 er'gen'qing'jing
一箭之地 yi'jian'zhi'di
响遏行云 xiang'e'xing'yun
灭门之祸 mie'men'zhi'huo
痛入骨髓 tong'ru'gu'sui
臭名昭着 chou'ming'zhao'zhe
祸福相依 huo'fu'xiang'yi
参差不一 can'cha'bu'yi
下知地理 xia'zhi'di'li
浴火凤凰 yu'huo'feng'huang
君主政体 jun'zhu'zheng'ti
风雨操场 feng'yu'cao'chang
知足长乐 zhi'zu'zhang'le
量才录用 liang'cai'lu'yong
丑恶嘴脸 chou'e'zui'lian
一槌定音 yi'chui'ding'yin
双机热备 shuangji'ji're'bei
珍馐美味 zhen'xiu'mei'wei
正义审判 zheng'yi'shen'pan
再接再励 zai'jie'zai'li
同窗好友 tong'chuang''you
哑然一笑 ya'ran'yi'xiao
油尽灯枯 you'jin'deng'ku
月里嫦娥 yue'li'chang'e
分文不值 fen'wen'bu'zhi
称心满意 cheng'xin'man'yi
白日见鬼 bai'ri'jian'gui
贵为天子 gui'wei'tian'zi
人同此心 ren'tong'ci'xin
撒豆成兵 sa'dou'cheng'bing
厚古薄今 hou'gu'bao'jin
不善言谈 bu'shan'yan'tan
防民之口 fang'min'zhi'kou
穷寇莫追 qiong'kou'mo'zhui
薪尽火传 xin'jin'huo'chuan
生拉硬扯 sheng'la'ying'che
伶牙利齿 ling'ya'li'chi
得意忘言 de'yi'wang'yan
不知其可 bu'zhi'qi'ke
绘声绘影 hui'sheng'hui'ying
勇猛精进 yong'meng'jing'jin
书生之见 shu'sheng'zhi'jian
参差错落 can'cha'cuo'luo
热热乎乎 re're'hu'hu
独夫民贼 du'fu'min'zei
泄露天机 xie'lu'tian'ji
通天彻地 tong'tian'che'di
夏练三伏 xia'lian'san'fu
惨遭毒手 can'zao'du'shou
剑南诗稿 jian'nan'shi'gao
一看就明白 yi'kan'jiu'ming'bai
重色轻友 zhong'se'qing'you
国家大计 guo'jia'da'ji
六六大顺 liu'liu'da'shun
去日苦多 qu'ri'ku'duo
芙蓉出水 fu'rong'chu'shui
仁心仁术 ren'xin'ren'shu
大难不死必有后福 da'nan'bu'si'bi'you'hou'fu
主持正义 zhu'chi'zheng'yi
授人以鱼 shou'ren'yi'yu
人性本善 ren'xing'ben'shan
锋芒所向 feng'mang'suo'xiang
闭门不出 bi'men'bu'chu
乐不可极 le'bu'ke'ji
绝世佳人 jue'shi'jia'ren
家长作风 jia'zhang'zuo'feng
宏图大志 hong'tu'da'zhi
神工鬼斧 shen'gong'gui'fu
逸闻趣事 yi'wen'qu'shi
夫贵妻荣 fu'gui'qi'rong
莺声燕语 ying'sheng'yan'yu
出力不讨好 chu'li'bu'tao'hao
残破不堪 can'po'bu'kan
猜拳行令 cai'quan'xing'ling
来无影去无踪 lai'wu'ying'qu'wu'zong
洋洋万言 yang'yang'wan'yan
百足之虫 bai'zu'zhi'chong
大恩不言谢 da'en'bu'yan'xie
有志不在年高 you'zhi'bu'zai'nian'gao
一个半个 yi'ge'ban'ge
抚掌大笑 fu'zhang'da'xiao
用非所学 yong'fei'suo'xue
三拳两脚 san'quan'liang'jiao
摇唇鼓舌 yao'chun'gu'she
自在逍遥 zi'zai'xiao'yao
七十二行 qi'shi'er'xing
贫贱不移 pin'jian'bu'yi
谈笑自如 tan'xiao'zi'ru
鸿篇巨著 hong'pian'ju'zhe
一曝十寒 yi'pu'shi'han
难逃法网 nan'tao'fa'wang
人心大快 ren'xin'da'kuai
不成文法 bu'cheng'wen'fa
体体面面 ti'ti'mian'mian
寻根问底 xun'gen'wen'di
买卖婚姻 mai'mai'hun'yin
强龙不压地头蛇 qiang'long'bu'ya'di'tou'she
埋锅造饭 mai'guo'zao'fan
岳母刺字 yue'mu'ci'zi
缩成一团 suo'cheng'yi'tuan
愈来愈少 yu'lai'yu'shao
分清是非 fen'qing'shi'fei
用进废退 yong'jin'fei'tui
两面夹攻 liang'mian'jia'gong
不念旧恶 bu'nian'jiu'e
一点灵犀 yi'dian'ling'xi
嫁狗随狗 jia'gou'sui'gou
倒戈相向 dao'ge'xiang'xiang
没有金刚钻 mei'you'jin'gang'zuan
趣味盎然 qu'wei'ang'ran
酒逢知己 jiu'feng'zhi'ji
神仙中人 shen'xian'zhong'ren
苍蝇不叮无缝蛋 cang'ying'bu'ding'wu'feng'dan
两眼一抹黑 liang'yan'yi'mo'hei
江州司马 jiang'zhou'si'ma
油光可鉴 you'guang'ke'jian
颇负盛名 po'fu'sheng'ming
明白晓畅 ming'bai'xiao'chang
睁一只眼 zheng'yi'zhi'yan
风云变化 feng'yun'bian'hua
买卖不成仁义在 mai'mai'bu'cheng'ren'yi'zai
选贤与能 xuan'xian'yu'neng
螳螂捕蝉黄雀在后 tang'lang'bu'chan'huang'que'zai'hou
墙头马上 qiang'tou'ma'shang
万事不求人 wan'shi'bu'qiu'ren
临机处置 lin'ji'chu'zhi
长命富贵 zhang'ming'fu'gui
脱离苦海 tuo'li'ku'hai
翻手为云覆手雨 fan'shou'wei'yun'fu'shou'yu
谆谆善诱 zhun'zhun'shan'you
不知老之将至 bu'zhi'lao'zhi'jiang'zhi
甘之若饴 gan'zhi'ruo'yi
窃国大盗 qie'guo'da'dao
闲花野草 xian'hua'ye'cao
落拓不羁 luo'ta'bu'ji
神色不动 shen'se'bu'dong
兴利除害 xing'li'chu'hai
母以子贵 mu'yi'zi'gui
闻名不如见面 wen'ming'bu'ru'jian'mian
受用不尽 shou'yong'bu'jin
宽袍大袖 kuan'pao'da'xiu
绝口不谈 jue'kou'bu'tan
观念形态 guan'nian'xing'tai
夜幕低垂 ye'mu'di'chui
比肩接踵 bi'jian'jie'zhong
一顺百顺 yi'shun'bai'shun
末日审判 mo'ri'shen'pan
将遇良才 jiang'yu'liang'cai
本固邦宁 ben'gu'bang'ning
养家活口 yang'jia'huo'kou
冷冷淡淡 leng'leng'dan'dan
一分一毫 yi'fen'yi'hao
断然不可 duan'ran'bu'ke
不徐不疾 bu'xu'bu'ji
冬练三九 dong'lian'san'jiu
金瓶掣签 jin'ping'che'qian
不可言状 bu'ke'yan'zhuang
熔于一炉 rong'yu'yi'lu
千金不换 qian'jin'bu'huan
应付裕如 ying'fu'yu'ru
钟鸣鼎食 zhong'ming'ding'shi
不加思索 bu'jia'si'suo
七扭八歪 qi'niu'ba'wai
乐而不淫 le'er'bu'yin
正直无私 zheng'zhi'wu'si
坐无虚席 zuo'wu'xu'xi
转祸为福 zhuan'huo'wei'fu
如臂使指 ru'bi'shi'zhi
事出意外 shi'chu'yi'wai
直认不讳 zhi'ren'bu'hui
尸横遍地 shi'heng'bian'di
不鸣则已 bu'ming'ze'yi
增砖添瓦 zeng'zhuan'tian'wa
公正严明 gong'zheng'yan'ming
酒绿灯红 jiu'lv'deng'hong
春节烟花 chun'jie'yan'hua
万里长空 wan'li'zhang'kong
大声吆喝 da'sheng'yao'he
飞针走线 fei'zhen'zou'xian
以史为镜 yi'shi'wei'jing
诗中有画 shi'zhong'you'hua
漫天风雪 man'tian'feng'xue
良禽择木 liang'qin'ze'mu
临机应变 lin'ji'ying'bian
奇花异木 qi'hua'yi'mu
躬行实践 gong'xing'shi'jian
南征北讨 nan'zheng'bei'tao
刀下之鬼 dao'xia'zhi'gui
古今之变 gu'jin'zhi'bian
一男半女 yi'nan'ban'nv
无影无形 wu'ying'wu'xing
姜太公钓鱼 jiang'tai'gong'diao'yu
小心在意 xiao'xin'zai'yi
一块石头落地 yi'kuai'shi'tou'luo'di
无可讳言 wu'ke'hui'yan
人喊马嘶 ren'han'ma'si
权衡得失 quan'heng'de'shi
白浪滔天 bai'lang'tao'tian
遇水架桥 yu'shui'jia'qiao
纷繁芜杂 fen'fan'wu'za
万事皆休 wan'shi'jie'xiu
都给事中 dou'gei'shi'zhong
进退有据 jin'tui'you'ju
道骨仙风 dao'gu'xian'feng
断井颓垣 duan'jing'tui'yuan
踌躇不决 chou'chu'bu'jue
遗患无穷 yi'huan'wu'qiong
来回来去 lai'hui'lai'qu
鱼水深情 yu'shui'shen'qing
哀其不幸 ai'qi'bu'xing
声名大振 sheng'ming'da'zhen
一分耕耘一分收获 yi'fen'geng'yun'yi'fen'shou'huo
使人昭昭 shi'ren'zhao'zhao
打小算盘 da'xiao'suan'pan
一口吃个胖子 yi'kou'chi'ge'pang'zi
描眉画眼 miao'mei'hua'yan
超前意识 chao'qian'yi'shi
池中之物 chi'zhong'zhi'wu
一脉相通 yi'mai'xiang'tong
才德兼备 cai'de'jian'bei
桃之夭夭 tao'zhi'yao'yao
只谈风月 zhi'tan'feng'yue
拆东补西 chai'dong'bu'xi
惊喜若狂 jing'xi'ruo'kuang
涂炭生灵 tu'tan'sheng'ling
王孙公子 wang'sun'gong'zi
富有四海 fu'you'si'hai
两天晒网 liang'tian'shai'wang
敬若神明 jing'ruo'shen'ming
人情世态 ren'qing'shi'tai
股肱之臣 gu'gong'zhi'chen
婆娑起舞 po'suo'qi'wu
喷云吐雾 pen'yun'tu'wu
匹夫不可夺志 pi'fu'bu'ke'duo'zhi
船到桥头自然直 chuan'dao'qiao'tou'zi'ran'zhi
短小精干 duan'xiao'jing'gan
席卷天下 xi'juan'tian'xia
相沿成习 xiang'yan'cheng'xi
失足落水 shi'zu'luo'shui
肃杀之气 su'sha'zhi'qi
龙蟠虎踞 long'pan'hu'ju
重返家园 zhong'fan'jia'yuan
令人莫测 ling'ren'mo'ce
人多眼杂 ren'duo'yan'za
一人承担 yi'ren'cheng'dan
几起几落 ji'qi'ji'luo
烈日当头 lie'ri'dang'tou
血肉相联 xue'rou'xiang'lian
胡吃海塞 hu'chi'hai'sai
葬身鱼腹 zang'shen'yu'fu
敏而好学 min'er'hao'xue
市井小人 shi'jing'xiao'ren
登门造访 deng'men'zao'fang
焚琴煮鹤 fen'qin'zhu'he
鹊巢鸠占 que'chao'jiu'zhan
以一当百 yi'yi'dang'bai
箪食壶浆 dan'shi'hu'jiang
珠胎暗结 zhu'tai'an'jie
横加干涉 heng'jia'gan'she
杳无踪迹 yao'wu'zong'ji
不安于室 bu'an'yu'shi
兵无常势 bing'wu'chang'shi
上穷碧落下黄泉 shang'qiong'bi'luo'xia'huang'quan
分毫不差 fen'hao'bu'cha
亲仁善邻 qin'ren'shan'lin
遮天盖地 zhe'tian'gai'di
惹火上身 re'huo'shang'shen
专美于前 zhuan'mei'yu'qian
知耻近乎勇 zhi'chi'jin'hu'yong
不知其二 bu'zhi'qi'er
舍得一身剐 she'de'yi'shen'gua
欲扬先抑 yu'yang'xian'yi
迟暮之年 chi'mu'zhi'nian
无头无尾 wu'tou'wu'wei
生活美满 sheng'huo'mei'man
又当别论 you'dang'bie'lun
鸟为食亡 niao'wei'shi'wang
不改其乐 bu'gai'qi'le
娉娉袅袅 ping'ping'niao'niao
强敌环伺 qiang'di'huan'ci
道阻且长 dao'zu'qie'zhang
封建残余 feng'jian'can'yu
鬼神莫测 gui'shen'mo'ce
泥菩萨过江 ni'pu'sa'guo'jiang
更名改姓 geng'ming'gai'xing
赏善罚恶 shang'shan'fa'e
一枕黄粱 yi'zhen'huang'liang
不敢仰视 bu'gan'yang'shi
冠盖云集 guan'gai'yun'ji
船小好掉头 chuan'xiao'hao'diao'tou
遥遥相望 yao'yao'xiang'wang
桃花朵朵开 tao'hua'duo'duo'kai
枕头大战 zhen'tou'da'zhan
百兽之王 bai'shou'zhi'wang
血染沙场 xue'ran'sha'chang
哭天抹泪 ku'tian'mo'lei
急流勇进 ji'liu'yong'jin
道不拾遗 dao'bu'shi'yi
多难兴邦 duo'nan'xing'bang
凤阳花鼓 feng'yang'hua'gu
行军司马 xing'jun'si'ma
光耀门楣 guang'yao'men'mei
仁者爱人 ren'zhe'ai'ren
众善奉行 zhong'shan'feng'xing
破涕而笑 po'ti'er'xiao
人世沧桑 ren'shi'cang'sang
乌黑亮丽 wu'hei'liang'li
为非作恶 wei'fei'zuo'e
因人设事 yin'ren'she'shi
前人栽树后人乘凉 qian'ren'zai'shu'hou'ren'cheng'liang
高山密林 gao'shan'mi'lin
如影相随 ru'ying'xiang'sui
吉日良辰 ji'ri'liang'chen
新来乍到 xin'lai'zha'dao
此风不可长 ci'feng'bu'ke'zhang
贪天之功 tan'tian'zhi'gong
事非经过不知难 shi'fei'jing'guo'bu'zhi'nan
权宜之策 quan'yi'zhi'ce
利害攸关 li'hai'you'guan
好戏在后头 hao'xi'zai'hou'tou
不让须眉 bu'rang'xu'mei
雨过天青 yu'guo'tian'qing
东挪西凑 dong'nuo'xi'cou
香车宝马 xiang'che'bao'ma
贤良方正 xian'liang'fang'zheng
逆天行事 ni'tian'xing'shi
无风起浪 wu'feng'qi'lang
峨冠博带 e'guan'bo'dai
后生小子 hou'sheng'xiao'zi
人自为战 ren'zi'wei'zhan
荆棘满途 jing'ji'man'tu
霞光万道 xia'guang'wan'dao
骂不绝口 ma'bu'jue'kou
救急不救穷 jiu'ji'bu'jiu'qiong
骨鲠在喉 gu'geng'zai'hou
天空海阔 tian'kong'hai'kuo
智者千虑 zhi'zhe'qian'lv
涅磐重生 nie'pan'zhong'sheng
丑态毕露 chou'tai'bi'lu
发思古之幽情 fa'si'gu'zhi'you'qing
五色缤纷 wu'se'bin'fen
敬陪末座 jing'pei'mo'zuo
国子祭酒 guo'zi'ji'jiu
睡得正香 shui'de'zheng'xiang
竖起耳朵 shu'qi'er'duo
前赤壁赋 qian'chi'bi'fu
涣然一新 huan'ran'yi'xin
燕雀安知鸿鹄之志 yan'que'an'zhi'hong'gu'zhi'zhi
饥一顿饱一顿 ji'yi'dun'bao'yi'dun
到了如今 dao'le'ru'jin
稳如磐石 wen'ru'pan'shi
沐猴而冠 mu'hou'er'guan
有商有量 you'shang'you'liang
包罗万有 bao'luo'wan'you
依依难舍 yi'yi'nan'she
琴瑟和谐 qin'se'he'xie
损己利人 sun'ji'li'ren
天地开辟 tian'di'kai'pi
如鱼饮水 ru'yu'yin'shui
一言半语 yi'yan'ban'yu
宝剑锋从磨砺出 bao'jian'feng'cong'mo'li'chu
斗智斗力 dou'zhi'dou'li
难于启齿 nan'yu'qi'chi
人而无信 ren'er'wu'xin
徘徊观望 pai'huai'guan'wang
搜索枯肠 sou'suo'ku'chang
名缰利锁 ming'jiang'li'suo
闻者足戒 wen'zhe'zu'jie
纷纷攘攘 fen'fen'rang'rang
且战且走 qie'zhan'qie'zou
何罪之有 he'zui'zhi'you
各有所短 ge'you'suo'duan
脸红耳赤 lian'hong'er'chi
养虎遗患 yang'hu'yi'huan
多情善感 duo'qing'shan'gan
悠游自在 you'you'zi'zai
豹头环眼 bao'tou'huan'yan
公正廉明 gong'zheng'lian'ming
杀鸡骇猴 sha'ji'hai'hou
忠臣孝子 zhong'chen'xiao'zi
主次不分 zhu'ci'bu'fen
骨肉之情 gu'rou'zhi'qing
若有似无 ruo'you'shi'wu
吹弹得破 chui'dan'de'po
日入而息 ri'ru'er'xi
如花似锦 ru'hua'shi'jin
只知其一 zhi'zhi'qi'yi
煞是好看 sha'shi'hao'kan
活到九十九 huo'dao'jiu'shi'jiu
千古传诵 qian'gu'chuan'song
工程浩大 gong'cheng'hao'da
寂寂无名 ji'ji'wu'ming
桃李不言 tao'li'bu'yan
彪炳千秋 biao'bing'qian'qiu
车轱辘话 che'gu'lu'hua
人中吕布 ren'zhong'lv'bu
求死不得 qiu'si'bu'de
必不得已 bi'bu'de'yi
舍死忘生 she'si'wang'sheng
大军压境 da'jun'ya'jing
运交华盖 yun'jiao'hua'gai
比比划划 bi'bi'hua'hua
徒呼奈何 tu'hu'nai'he
赶早不赶晚 gan'zao'bu'gan'wan
与民休息 yu'min'xiu'xi
春满人间 chun'man'ren'jian
望风披靡 wang'feng'pi'mi
思如泉涌 si'ru'quan'yong
心焦如焚 xin'jiao'ru'fen
从容自在 cong'rong'zi'zai
哭天抢地 ku'tian'qiang'di
送旧迎新 song'jiu'ying'xin
大声嚷嚷 da'sheng'rang'rang
同声同气 tong'sheng'tong'qi
存心不良 cun'xin'bu'liang
玉体横陈 yu'ti'heng'chen
猛将如云 meng'jiang'ru'yun
才气横溢 cai'qi'heng'yi
不分高下 bu'fen'gao'xia
杀鸡焉用牛刀 sha'ji'yan'yong'niu'dao
天若有情天亦老 tian'ruo'you'qing'tian'yi'lao
争名逐利 zheng'ming'zhu'li
无边无垠 wu'bian'wu'yin
焉得虎子 yan'de'hu'zi
身单力薄 shen'dan'li'bao
乘火打劫 cheng'huo'da'jie
家书抵万金 jia'shu'di'wan'jin
妒贤嫉能 du'xian'ji'neng
砥柱中流 di'zhu'zhong'liu
能掐会算 neng'qia'hui'suan
驰骋疆场 chi'cheng'jiang'chang
性命交关 xing'ming'jiao'guan
不看僧面看佛面 bu'kan'seng'mian'kan'fu'mian
三句话不离本行 san'ju'hua'bu'li'ben'xing
欢喜若狂 huan'xi'ruo'kuang
儿女之情 r'nv'zhi'qing
明珠暗投 ming'zhu'an'tou
老而不死 lao'er'bu'si
左邻右里 zuo'lin'you'li
瘦骨伶仃 shou'gu'ling'ding
粲然一笑 can'ran'yi'xiao
纵虎归山 zong'hu'gui'shan
鼻青眼肿 bi'qing'yan'zhong
新欢旧爱 xin'huan'jiu'ai
皈依三宝 gui'yi'san'bao
养痈遗患 yang'yong'yi'huan
虚度光阴 xu'du'guang'yin
愈陷愈深 yu'xian'yu'shen
连哄带骗 lian'hong'dai'pian
牵牛鼻子 qian'niu'bi'zi
鼻子底下 bi'zi'di'xia
犹豫未决 you'yu'wei'jue
不得其法 bu'de'qi'fa
求大同存小异 qiu'da'tong'cun'xiao'yi
